===== VARIABLE INDEX (what the modder searches to find an index) =====
# normal variables  V[n] = row n of 通常変数名
  V[0]  一時数値
  V[300029]  琵琶シティジムクリア？
  V[300030]  ファストジムＵＳＢイベント
  V[300031]  [並列]ビワスター獲得
  V[300032]  エントリービル階層
  V[300033]  琵琶シティチャンレジ端末起動した？
  V[300035]  捕獲チュートリアル中？
  V[300036]  捕獲チュートリアル変数
  V[300040]  チャレンジプログラム１変数
  V[300041]  [並列]ロシアンルーレットピストン用
  V[300045]  プロローグ後お母さんに話した？
  V[300046]  [並列]タイトル用歩く並列
  V[300047]  [並列]プロローグリンクする？
  V[300048]  [並列]プロローグモンスターバトル？
  V[300049]  [並列]プロローグカワカブリ血だまり
  V[300050]  [並列]プロローグ冬、雪演出
  V[300055]  [並列]ヨドノモリ雨演出
  V[300060]  イベントサラリードスとのバトル？
  V[300065]  釣り竿もらった？
  V[300066]  釣った回数
  V[300067]  釣り上げた最大レベル
  V[300080]  ライセンススティックイベント終わった？
  V[300095]  ブラックロックロード自転車イベント
  V[300096]  [並列]ブロロ自転車速度
  V[300097]  おっさん突っ込んでくる？
  V[300102]  モンスターパークイベント変数
  V[300104]  スカイタウン自転車治してもらった？
  V[300105]  スカイタウンジム入れる？
  V[300106]  スカイタウンクリア？
  V[300107]  [並列]スカイタウンスター獲得
  V[300109]  マルマル自転車イベント終わった？
  V[300110]  [並列]マルマルカワカブリ向き
  V[300112]  アテンド初めてやった？
  V[300115]  モンスターパーク歩数
  V[300116]  モンスターパーク終了？
  V[300119]  インギィ出現中？
  V[300120]  ヨウギィ出現中？
  V[300121]  インギィワープ矢印出た？
  V[300122]  ヨウギィワープ矢印出た？
  V[300123]  地下ダンジョン鳥居出た？
  V[300125]  三段撃ち覚えた？
  V[300127]  ユウレイ城クリア？
  V[300128]  [並列]ボウレイスター獲得
  V[300130]  闇堕ちイベント完了？
  V[300131]  ユウレイ城：湯気不透明度
  V[300132]  アラレユウレイパワー覚醒中？
  V[300133]  ユウレイ城入れる？
  V[300134]  ユウレイ城、一番小さい扉開けた？
  V[300135]  オタシティ入った？
  V[300136]  オタシティジムクリア？
  V[300137]  [並列]オタスター獲得
  V[300138]  幽霊城ジム入場したことある？
  V[300139]  幽霊城驚かしイベント変数
  V[300140]  ママと戦える？
  V[300141]  [並列]ママスター獲得
  V[300142]  ハブシティジムクリア？
  V[300143]  電車移動？
  V[300144]  ハブシティ入場時イベント見た？
  V[300145]  リーグ何回戦？
  V[300146]  リーグチャンピオンになった？
  V[300147]  [並列]VSで立ち絵出る演出
  V[300148]  ママＤ入場？
  V[300150]  幽霊城歩数用
  V[300152]  リーグに行った？（ｵﾀｼﾃｨﾗｲﾌﾞ用、船用
  V[300154]  表彰式中？
  V[300156]  エンディング後セーブ？
  V[300157]  エンディング後セーブ後白ﾋﾟｸﾁｬ表示？
  V[300159]  ママクリア後、アカブー戦闘？
  V[300161]  エンディング見た？
  V[400000]  幽霊城　扉変数
  V[400001]  幽霊城　闇堕ちヒロイン
  V[400002]  幽霊城　闇堕ち用モヤモヤ
  V[400010]  左側　左上宝箱
  V[400011]  左側　左下宝箱２
  V[400012]  左側　右宝箱３
  V[400020]  右側　真ん中宝箱１
  V[400021]  右側　右真ん中宝箱２
  V[400022]  右側　右下宝箱３
  V[400023]  右側　右下宝箱４
  V[400024]  右側　右下宝箱５
  V[400025]  右側　右下宝箱６
  V[500000]  味方生きてる手持ち数
  V[500001]  敵生きてる手持ち数
  V[500002]  味方出撃ID
  V[500003]  敵出撃ID
  V[500010]  敵のモンスター倒れた？
  V[500015]  味方選択スキルＩＤ
  V[500016]  敵選択スキルＩＤ
  V[500020]  [並列]ディスク上にモンスター戻す
  V[500021]  [並列]コンバート時連続音ｳﾋﾟﾋﾟﾋﾟ
  V[500022]  [並列]コンバート％表示？
  V[500023]  コンバート％
  V[600000]  エロスキル選択番号
  V[600001]  エロ戦闘する？
  V[600003]  えっちばとるチュートリアル？
  V[600005]  [並列]味方スキル派手選択演出
  V[600007]  敵スキル中、ダメージ入る？
  V[600008]  ダメージ/回(HP1000%)
  V[600010]  シーン味方HP割合
  V[600011]  シーン敵HP割合
  V[600015]  ハートゲージ（％）
  V[600017]  [並列]敗北シーン変数
  V[600018]  敗北シーン中？
  V[600019]  敗北シーンピュッピュ中？
  V[600020]  VC番号
  V[600021]  [後で変更]トレーナーＩＤV100に変更
  V[600023]  敵へのダメージ保存
  V[600024]  味方へのダメージ保存
  V[600026]  味方のダメージ表示調整％
  V[600030]  ボククンシーン現在ＨＰ
  V[600031]  ボククンシーン最大ＨＰ
  V[600032]  相手シーン現在ＨＰ
  V[600033]  相手シーン最大ＨＰ
  V[600035]  シーン敵レベル
  V[600036]  ボククン受けるダメージ補正（％）
  V[600040]  敵へのダメージハートPOP
  V[600041]  味方へのダメージハートPOP
  V[600042]  敵へのダメージ待機ﾌﾚｰﾑ
  V[600043]  味方へのダメージ待機ﾌﾚｰﾑ
  V[600046]  勝利シーンピストン番号
  V[600050]  射精後精液表示？
  V[600051]  体精液１表示？
  V[600052]  体精液２表示？
  V[600053]  体精液３表示？
  V[600055]  勝利シーン目ＨＩ，精液変数
  V[600056]  目ＨＩ　ＯＮ？
  V[600057]  精液　ＯＮ？
  V[600060]  ボククン中出し合計
  V[600061]  今回の中出し回数
  V[600062]  今回イった回数
  V[600063]  えっちばとる勝利数
  V[600065]  スキル連続変数
  V[700000]  アドミン１番ジムまばたき
  V[700001]  ロードメイカーまばたき
  V[700002]  ライバル初回
  V[700003]  水着スク水まばたき
  V[700004]  駆け出しポニテまばたき
  V[700005]  すっぴんツインまばたき
  V[700006]  駆け出しＷまばたき
  V[700007]  駆け出しＢまばたき
  V[700008]  ミニスカショートまばたき
  V[700009]  メイドＢまばたき
  V[700010]  メイドＡまばたき
  V[700011]  ミニスカロングまばたき
  V[700012]  水着ポニテまばたき
  V[700013]  水着ロングまばたき
  V[700014]  ハカセまばたき
  V[700015]  ポリスまばたき
  V[700016]  エリートＷまばたき
  V[700017]  エレベーターまばたき
  V[700018]  エリデバロングまばたき
  V[700019]  アイドルまばたき
  V[700020]  ユウレイまばたき
  V[700021]  水着ジムまばたき
  V[700022]  スカイジムまばたき
  V[700023]  エリートハーフアップまばたき
  V[700024]  ライバルリーグまばたき
  V[700025]  ママジムまばたき
  V[700030]  ウサギ赤まばたき
  V[700031]  ウサギ青まばたき
  V[700032]  ウサギ黄まばたき
  V[700033]  ウサギ緑まばたき
  V[700034]  ウサギ桃まばたき
  V[700050]  ヒロイン初回まばたき
  V[700051]  ヒロインつるまばたき
  V[700052]  ヒロイン宿まばたき
  V[700053]  ヒロイン闇まばたき
  V[700054]  ヒロインパイズリまばたき
  V[700060]  ３Ｐエッチ　メインまばたき
  V[700061]  ３Ｐエッチ　相方まばたき
  V[700062]  フェラ　まばたき
  V[700063]  フェラ　相方まばたき
  V[800000]  [システム]保存ＢＧＭ番号
  V[800001]  [システム]決定キー処理
  V[800002]  [システム]ｴﾘｱ移動時BGM変更しない？
  V[800003]  [システム]BGM再生しない？
  V[800004]  [システム]ダイレクトアタック覚えた？
  V[800005]  [システム]自転車乗ってる？
  V[800006]  [システム]なみのりしてる？
  V[800007]  [システム]つるとかし覚えた？
  V[800008]  [システム]アテンドできる？
  V[800009]  [システム]女の子図鑑もらった？
  V[800010]  [システム]ﾒｯｾｰｼﾞｳｨﾝﾄﾞｳ種類(0=通常,1=ヒロイン,2=ヒロイン以外）
  V[800011]  [システム]ﾒｯｾｰｼﾞｳｨﾝﾄﾞｳ種類比較用変数
  V[800012]  [システム]ﾒｯｾｰｼﾞｳｨﾝﾄﾞｳ立ち絵番号
  V[800013]  [システム]ｳｨﾝﾄﾞｳ表示フラグ
  V[800015]  [システム]疑似乱数格納
  V[800017]  [システム][並列]雨？
  V[800018]  [システム][並列]曇り？
  V[800019]  [システム]天気変えない？
  V[800020]  [システム]応援メガホン（学習装置）持ってる？
  V[800021]  [システム]所持金額
  V[800023]  [システム]釣り中？
  V[800024]  [システム]メニュー起動可能？
  V[800025]  [システム]アイテムキラキラ変数
  V[800026]  [システム]回想シーン用背景設定
  V[800027]  [システム]勝利スキル設定可能？
  V[800030]  [システム]金玉フラッシュ変数
  V[800032]  [システム]チャレンジプログラム番号
  V[800035]  [システム]はいいいえ選択肢、描画シフトＸ
  V[800036]  [システム]はいいいえ選択肢、描画シフトＹ
  V[800040]  [スター]はばたきタウン
  V[800041]  [スター]ハブシティ
  V[800042]  [スター]ビワシティ
  V[800043]  [スター]スカイタウン
  V[800044]  [スター]ユウレイ城
  V[800045]  [スター]オタシティ
  V[800047]  [情報]手持ちモンスター数
  V[800048]  [情報]シーン達成％
  V[800050]  [ｼｽﾃﾑ]やられた時帰るマップ番号
  V[800051]  [ｼｽﾃﾑ]やられた時帰るマップＸ
  V[800052]  [ｼｽﾃﾑ]やられた時帰るマップＹ
  V[800053]  [ｼｽﾃﾑ]やられた時向く方向
  V[800055]  [システム]顔グラはじめﾋﾟｸﾁｬ
  V[800056]  [システム]顔グラﾋﾟｸﾁｬ最大値
  V[800057]  [システム]スキップ中？
  V[800058]  [システム][並列]ヒロインまばたきﾋﾟｸﾁｬ
  V[800059]  [システム][並列]戦闘立ち絵まばたきﾋﾟｸﾁｬ
  V[800060]  [システム][並列]戦闘立ち絵まばたきﾋﾟｸﾁｬ２
  V[800061]  [システム][並列]ヒロイン以外まばたきﾋﾟｸﾁｬ
  V[800062]  [システム]ヒロイン側立ち絵堕ち目
  V[800063]  [システム]相手側立ち絵堕ち目
  V[800064]  イベント終わったら堕ち目変数０に？
  V[800066]  [システム]メニュー起動中？？
  V[800067]  [システム]メニューホーム表示中？
  V[800068]  [ｼｽﾃﾑ]回想中?
  V[800070]  [設定]捕まえやすさ設定値
  V[800071]  [設定]ゲーム難易度設定値
  V[800072]  [設定]バトル経験値ブースト値
  V[800073]  [設定]エッチ経験値ブースト値
  V[800075]  [設定]エッチバトル難易度設定値
  V[800076]  [設定]堕ち目差分設定値
  V[800080]  [設定]VC設定値
  V[800082]  [音量補正]ボイス補正BGS%
  V[800083]  [音量補正]ボイス補正SE%
  V[800085]  [ｷｰ]サブ２キー、キーボード番号
  V[800086]  [ｷｰ]サブ２キー、パッド番号
  V[800090]  [ｼｽﾃﾑ]認証年
  V[800091]  [ｼｽﾃﾑ]認証月
  V[800092]  [ｼｽﾃﾑ]認証日
  V[800093]  [ｼｽﾃﾑ]認証時
  V[800094]  [ｼｽﾃﾑ]体験版？
  V[900000]  [ﾃﾞﾊﾞｯｸﾞ]通しチェック？＋デバッグキー有効
  V[900005]  [TEST]捕獲１００％表記
  V[900007]  [TEST]撮影会終わり
  V[900008]  [TEST]バレーバッヂ取得
  V[900009]  [TEST]憧れのお姉さん初回登場？
  V[900011]  [TEST]サイバー連絡先交換
  V[900015]  [ﾃﾞﾊﾞｯｸﾞ]えっちばとるスキップ？
  V[900016]  [ﾃﾞﾊﾞｯｸﾞ]勝利シーンスキップ？
  V[900020]  [Debug]レベリングバトラー変数
  V[900021]  [Debug]レベル想定用選択肢だす？
  V[900022]  [Debug]戦闘スキップ？
  V[900025]  [Debug]ＣＧチェック中？
  V[900029]  体験版？

# string variables  S[n]
  S[0]  [サンプル]一時文字列
  S[6]  認識文字列
  S[7]  バージョン文字列
  S[9]  ヒロインの二つ名
  S[10]  ヒロインの名前
  S[12]  ライバルの名前
  S[13]  博士の名前
  S[15]  相手側文章表示用名前
  S[16]  相手側愛称名前
  S[21]  ライバル表情ﾌｧｲﾙ名
  S[31]  味方トレーナーの名前
  S[32]  味方モンスターの名前
  S[33]  敵トレーナーの名前
  S[34]  敵モンスターの名前
  S[50]  ボククン鳴き声基本
  S[53]  連続スキル用、スキル名保存
  S[55]  へこへこorイケイケ文字列
  S[56]  ぴゅっぴゅorどぴゅっぴゅ文字列
  S[57]  ポルチオタッチorキッス文字列
  S[60]  エロスキル技名
  S[61]  システムメッセージ
  S[62]  敵エロスキル技名
  S[65]  シーン行動選択肢上
  S[66]  シーン行動選択肢中
  S[67]  //[現在未使用]シーン行動選択肢下
  S[70]  上下キー選択肢、上
  S[71]  上下キー選択肢、下
  S[72]  上下キー選択肢、３つ目
  S[85]  [ｷｰ]サブ２キー、キーボード文字列
  S[86]  [ｷｰ]サブ２キー、パッド文字列
  S[150]  ヒロイン闇上選択肢
  S[151]  ヒロイン闇中選択肢
  S[152]  ヒロイン闇下選択肢
  S[200]  選択肢１
  S[201]  選択肢２
  S[202]  選択肢３
  S[203]  選択肢４
  S[204]  選択肢５
  S[205]  選択肢６
  S[206]  選択肢７
  S[207]  選択肢８
  S[208]  選択肢９
  S[209]  選択肢１０
  S[300]  バス移動先１
  S[301]  バス移動先２
  S[302]  バス移動先３
  S[303]  バス移動先４
  S[304]  バス移動先５
  S[305]  バス移動先６
  S[306]  バス移動先７
  S[307]  バス移動先８
  S[308]  バス移動先９
  S[309]  バス移動先１０
  S[999]  ボククンの名前

# system variables  Sys[n]
  Sys[0]  顔ｸﾞﾗﾌｨｯｸ番号
  Sys[1]  ﾒｯｾｰｼﾞｳｨﾝﾄﾞｳ X座標
  Sys[2]  ﾒｯｾｰｼﾞｳｨﾝﾄﾞｳ Y座標
  Sys[3]  選択肢ｳｨﾝﾄﾞｳ X座標
  Sys[4]  選択肢ｳｨﾝﾄﾞｳ Y座標
  Sys[5]  ﾎﾟｰｽﾞｶｰｿﾙX (Sys1に足した位置)
  Sys[6]  ﾎﾟｰｽﾞｶｰｿﾙY (Sys2に足した位置)
  Sys[7]  選択肢次回初期位置(0,1,2...)
  Sys[8]  基本フォントサイズ
  Sys[9]  ﾒｯｾｰｼﾞ速度( X 文字/秒)
  Sys[10]  ﾒｯｾｰｼﾞ表示ｳｪｲﾄ(X ﾌﾚｰﾑ)
  Sys[11]  ﾋﾟｸﾁｬ文字速度( X 文字/秒)
  Sys[12]  文章の表示 実行中？(1=ON)
  Sys[13]  ｲﾍﾞﾝﾄ実行中？(1=ON)
  Sys[14]  選択肢ｳｨﾝﾄﾞｳ表示する?(1=ON)
  Sys[15]  方向ｷｰﾘﾋﾟｰﾄ初ｳｪｲﾄ(ﾌﾚｰﾑ数指定)
  Sys[16]  方向ｷｰﾘﾋﾟｰﾄ次ｳｪｲﾄ(ﾌﾚｰﾑ数指定)
  Sys[17]  選択肢SE番号：決定(Sys3)
  Sys[18]  選択肢SE番号：選択(Sys3)
  Sys[19]  選択肢SE番号：ｷｬﾝｾﾙ(Sys3)
  Sys[20]  選択肢ｶｰｿﾙ現位置(0,1,2..非選択時:-1)
  Sys[21]  文字影付ける?(0=OFF,1以上=ON)
  Sys[22]  選択肢ｶｰｿﾙ表示ﾓｰﾄﾞ?(0=通常,1=加算)
  Sys[23]  ルビのフォントサイズ
  Sys[24]  [読]ｾｰﾌﾞﾃﾞｰﾀ読込判定(1=成功 0=失敗)
  Sys[25]  現在ｾｰﾌﾞﾃﾞｰﾀ番号(0～)
  Sys[26]  選択肢ｳｨﾝﾄﾞｳ X余白
  Sys[27]  選択肢ｳｨﾝﾄﾞｳ Y余白
  Sys[28]  経過ﾌﾚｰﾑ数[1000万で一周]
  Sys[29]  プレイ時間（1秒単位）
  Sys[30]  [読]プレイ時間(ﾐﾘ秒単位)
  Sys[31]  [読]内部FPS(毎秒変化）
  Sys[32]  [読]描画FPS(毎秒変化）
  Sys[33]  ﾌﾚｰﾑｽｷｯﾌﾟﾚﾍﾞﾙ(0～2)
  Sys[34]   -----
  Sys[35]  主人公移動中？(1=YES) ﾏｽの間にいる?
  Sys[36]  主人公の影番号(Sys9)
  Sys[37]  仲間の車間距離(1あたり1歩)
  Sys[38]  ｷｰﾎﾞ入力中受付可?[1:ﾏｳｽﾀｯﾁ+2ﾊﾟｯﾄﾞ] *[ｷｰ入力]のみ
  Sys[39]  [読]ｷｰﾎﾞ入力状態 0=Enter -1=ｷｬﾝｾﾙ
  Sys[40]  ｷｰﾎﾞ入力文字列 X座標
  Sys[41]  ｷｰﾎﾞ入力文字列 Y座標
  Sys[42]  ｷｰﾎﾞ入力文字ｱﾝﾁｴｲﾘｱｽ[0無/1有/+2ｴｯｼﾞ]
  Sys[43]  [読]ﾈｯﾄ/DL済ｻｲｽﾞ(byte)
  Sys[44]  [読]ﾈｯﾄ/DL予定ｻｲｽﾞ(byte)[不明なら-1]
  Sys[45]  [読]ﾈｯﾄ/接続速度
  Sys[46]  [読]ﾈｯﾄ/接続時間(秒)
  Sys[47]  [読]ﾈｯﾄ/残り時間(秒)
  Sys[48]  [読]ﾈｯﾄ/状態 -1失敗 0通信中 1終了
  Sys[49]   -----
  Sys[50]   -----
  Sys[51]  ◆ 以下 ｷｰｺﾝﾌｨｸﾞ ◆
  Sys[52]  決定ｷｰ(ｷｰﾎﾞｰﾄﾞ)
  Sys[53]  ｷｬﾝｾﾙｷｰ(ｷｰﾎﾞｰﾄﾞ)
  Sys[54]  ｻﾌﾞｷｰ（ｷｰﾎﾞｰﾄﾞ）
  Sys[55]  決定ｷｰ（ﾊﾟｯﾄﾞ）
  Sys[56]  ｷｬﾝｾﾙｷｰ（ﾊﾟｯﾄﾞ）
  Sys[57]  ｻﾌﾞｷｰ（ﾊﾟｯﾄﾞ）
  Sys[58]  ◆ここまでｷｰｺﾝﾌｨｸﾞ◆
  Sys[59]  決定ｷｰﾘﾋﾟｰﾄする？(1=ON) *[キー待ち]用
  Sys[60]  ｷｬﾝｾﾙｷｰﾘﾋﾟｰﾄする？(1=ON) *[キー待ち]用
  Sys[61]  フォグ番号(Sys13)
  Sys[62]  フォグX速度
  Sys[63]  フォグY速度
  Sys[64]  ﾌｫｸﾞ描画ﾀｲﾌﾟ(0通常1加算2減算)
  Sys[65]  ﾌｫｸﾞ不透明度(0～255)
  Sys[66]  遠景番号(Sys13)
  Sys[67]  遠景X速度
  Sys[68]  遠景Y速度
  Sys[69]   -----
  Sys[70]   -----
  Sys[71]  マウスＸ位置
  Sys[72]  マウスＹ位置
  Sys[73]  文･選択肢のﾏｳｽ入力(1なら受付)
  Sys[74]  ﾏｳｽﾎﾟｲﾝﾀ表示する?(1=ON)
  Sys[75]   -----
  Sys[76]   -----
  Sys[77]  現在の[年]
  Sys[78]  現在の[月]
  Sys[79]  現在の[日]
  Sys[80]  現在の[時]
  Sys[81]  現在の[分]
  Sys[82]  現在の[秒]
  Sys[83]   -----
  Sys[84]  画面ｻｲｽﾞ(0=320x240,1=640x480,2=800x600 他-1)
  Sys[85]  描画ﾓｰﾄﾞ(0=3Dﾓｰﾄﾞ,1=ｿﾌﾄｳｪｱ)
  Sys[86]   -----
  Sys[87]  仲間1影番号(-1=主人公と同じ）
  Sys[88]  仲間2影番号(-1=主人公と同じ）
  Sys[89]  仲間3影番号(-1=主人公と同じ）
  Sys[90]  仲間4影番号(-1=主人公と同じ）
  Sys[91]  仲間5影番号(-1=主人公と同じ）
  Sys[92]   -----
  Sys[93]  再生中BGMパン[-255～255]
  Sys[94]  再生中BGSパン(Ch=Sys99)[-255～255]
  Sys[95]  再生中BGM音量[%]
  Sys[96]  再生中BGMテンポ/周波数[%]
  Sys[97]  再生中BGS音量(Ch=Sys99)[%]
  Sys[98]  再生中BGS周波数(Ch=Sys99)[%]
  Sys[99]  対象とするBGSﾁｬﾝﾈﾙ[Ch]
  Sys[100]  BGM音量補正[%]
  Sys[101]  BGS音量補正[%]
  Sys[102]  SE音量補正[%]
  Sys[103]   -----
  Sys[104]  Ｘスクロール値
  Sys[105]  Ｙスクロール値
  Sys[106]   -----
  Sys[107]   -----
  Sys[108]  [読]現ﾌﾚｰﾑ開始からのｺﾏﾝﾄﾞ処理数
  Sys[109]   -----
  Sys[110]  現在の乱数のシード(種)
  Sys[111]  [読]画面アクティブ状態(1=アクティブ)
  Sys[112]  [読]テストプレイ中？(1=YES)
  Sys[113]   -----
  Sys[114]  [読]動作ﾊﾞｰｼﾞｮﾝ調整(x100)
  Sys[115]  [読]Game.exeバージョン(x100)
  Sys[116]  [読]画面サイズＸ
  Sys[117]  [読]画面サイズＹ
  Sys[118]  [読]タイルサイズ
  Sys[119]  [読]基本画面倍率x[1-3]
  Sys[120]  ﾘｾｯﾄ履歴 0=ﾅｼ/1=F12/2=[ﾀｲﾄﾙ画面へ]ｺﾏﾝﾄﾞ
  Sys[121]   -----
  Sys[122]  Map&Evｽﾞｰﾑ時なめらか=1[α版]
  Sys[123]  次表示ﾋﾟｸﾁｬ拡縮くっきり(1=YES)
  Sys[124]   -----
  Sys[125]  フォント太さ(1～10)
  Sys[126]   -----
  Sys[127]  Mapﾀｲﾙ非ｾｰﾌﾞﾌﾗｸﾞ(1=YES)
  Sys[128]   -----
  Sys[129]  Ev斜め移動 X速度補正[%]
  Sys[130]  Ev斜め移動 Y速度補正[%]
  Sys[131]  主人公 中心X補正
  Sys[132]  主人公 中心Y補正
  Sys[133]   -----
  Sys[134]  POVｷｰで方向入力ｵﾝ？[1=ON]
  Sys[135]  左ｽﾃｨｯｸで方向入力ｵﾝ？[1=ON]
  Sys[136]  精密ｳｨﾝﾄﾞｳ拡大率[0.1%](-1=自動)
  Sys[137]  ｳｨﾝﾄﾞｳ拡大率[%](-1=自動)
  Sys[138]  画面ﾓｰﾄﾞ[ｳｨﾝﾄﾞｳ:0/仮想全:1/全:2]
  Sys[139]  [P]ｽﾞｰﾑｱｳﾄ時ﾏｯﾌﾟ拡張表示 1:ON
  Sys[140]  ｳｨﾝﾄﾞｳ拡縮ﾓｰﾄﾞ[くっきり=0/なめらか=1]
  Sys[141]  [P]ｼｽﾃﾑ言語[日本語:0/英語:1]
  Sys[142]   -----
  Sys[143]  [読]処理可能ｺﾏﾝﾄﾞ[通常0/プロ版1]
  Sys[144]   -----
  Sys[145]   -----
  Sys[146]  DirectInputならPS/Swiｺﾝ準拠?=1(1推奨)
  Sys[147]   -----
  Sys[148]  [P]次起動ｳｨﾝﾄﾞｳ拡大率[0.1%]
  Sys[149]   -----
  Sys[150]  特殊文字変換を無効化[1=ON]
  Sys[151]   -----
  Sys[152]   -----
